timestamps,TP9,AF7,AF8,TP10,Right AUX
1734686140.055,-14.160,-31.738,-20.020,23.438,-254.883
1734686140.059,-2.930,-29.297,-23.438,25.879,-193.359
1734686140.063,28.809,-22.461,-30.273,20.996,-160.156
1734686140.067,77.637,-16.113,-26.855,37.109,-1.953
1734686140.071,29.297,-21.973,-26.855,14.648,79.102
1734686140.075,-35.645,-29.297,-33.203,-10.254,97.168
1734686140.079,-29.785,-36.621,-38.086,-12.207,-13.184
1734686140.082,1.953,-42.969,-43.945,-9.277,-149.902
1734686140.086,58.594,-44.922,-41.504,13.184,54.199
1734686140.090,22.461,-41.504,-41.992,3.418,483.887
1734686140.094,-41.992,-33.691,-46.875,-15.625,219.727
1734686140.098,-27.344,-35.156,-42.969,-12.695,-279.785
1734686140.099,3.906,-37.598,-34.668,-5.859,-260.254
1734686140.103,59.570,-26.855,-32.227,23.926,38.086
1734686140.107,36.133,-23.926,-32.715,20.508,124.512
1734686140.111,-39.062,-23.438,-33.691,-12.695,-143.555
1734686140.115,-43.945,-20.996,-39.551,-15.625,-177.734
1734686140.119,-18.555,-24.414,-35.645,-9.277,-66.895
1734686140.123,44.434,-28.809,-25.879,13.184,72.266
1734686140.126,41.504,-28.320,-29.297,3.418,121.582
1734686140.130,-35.645,-19.531,-35.156,-29.785,203.613
1734686140.134,-46.875,-17.578,-32.715,-14.648,604.004
1734686140.138,-12.695,-22.461,-31.250,-6.348,227.051
1734686140.142,40.527,-27.832,-38.574,4.883,-106.934
1734686140.145,36.621,-33.203,-43.457,9.766,121.582
1734686140.149,-35.645,-36.621,-33.691,-20.020,-140.137
1734686140.153,-46.875,-28.320,-28.320,-23.438,-311.035
1734686140.157,-20.996,-24.902,-28.320,-16.602,-229.492
1734686140.161,40.039,-21.484,-25.391,2.441,-40.039
1734686140.165,58.594,-14.160,-20.508,14.160,225.586
1734686140.169,-24.414,-19.043,-20.508,-10.254,88.379
1734686140.172,-41.016,-12.695,-19.043,-17.578,-150.879
1734686140.176,-15.625,-12.695,-10.254,-13.672,161.621
1734686140.180,25.391,-18.066,-8.789,5.371,250.977
1734686140.184,56.641,-8.789,-14.648,17.090,122.559
1734686140.188,-12.695,-14.648,-16.113,-5.371,12.695
1734686140.189,-38.574,-17.578,-12.695,-11.719,-52.734
1734686140.193,-14.648,-17.090,-17.578,-9.277,-251.953
1734686140.197,22.461,-18.066,-23.926,3.418,-228.027
1734686140.201,63.477,-10.254,-17.578,17.090,70.801
1734686140.205,-0.977,-14.160,-12.695,-6.836,62.500
1734686140.209,-45.410,-24.902,-16.602,-10.742,-39.062
1734686140.213,-21.484,-34.668,-16.602,-11.230,-106.934
1734686140.216,16.602,-30.273,-18.555,-12.695,70.312
1734686140.220,58.594,-19.531,-23.438,17.090,703.613
