timestamps,TP9,AF7,AF8,TP10,Right AUX
1737965906.586,999.512,999.512,866.699,505.859,-1000.000
1737965906.590,-483.398,-401.855,-201.172,999.512,484.375
1737965906.594,-1000.000,-1000.000,-1000.000,-30.762,999.512
1737965906.598,-845.703,-840.332,-913.086,-1000.000,808.594
1737965906.602,539.551,531.250,304.199,-977.051,-573.730
1737965906.606,999.512,999.512,865.234,276.367,-1000.000
1737965906.610,-254.395,-138.672,-111.328,999.512,186.523
1737965906.613,-1000.000,-1000.000,-942.871,338.379,999.512
1737965906.617,-830.078,-837.402,-996.582,-914.062,799.805
1737965906.621,510.254,511.719,47.852,-1000.000,-539.551
1737965906.625,999.512,999.512,857.422,-106.934,-1000.000
1737965906.629,163.086,265.137,72.266,999.512,-286.621
1737965906.632,-1000.000,-1000.000,-874.512,624.512,983.887
1737965906.636,-865.234,-969.238,-1000.000,-758.301,921.387
1737965906.640,519.043,382.812,-155.762,-1000.000,-437.012
1737965906.644,999.512,999.512,843.750,-513.184,-1000.000
1737965906.648,531.738,591.309,317.383,956.055,-612.793
1737965906.652,-887.207,-806.641,-775.879,471.191,782.227
1737965906.656,-1000.000,-1000.000,-1000.000,-807.129,999.512
1737965906.659,343.262,179.199,-248.535,-1000.000,-220.215
1737965906.663,999.512,999.512,841.309,-750.977,-1000.000
1737965906.667,671.875,748.535,471.191,791.992,-755.859
1737965906.671,-717.285,-611.328,-712.891,928.711,624.023
1737965906.675,-1000.000,-1000.000,-1000.000,-606.934,999.512
1737965906.676,62.012,-209.473,-493.164,-1000.000,55.176
1737965906.680,999.512,999.512,669.922,-874.023,-1000.000
1737965906.684,805.664,836.914,632.324,604.004,-843.262
1737965906.688,-539.551,-553.223,-617.676,962.891,526.367
1737965906.692,-1000.000,-1000.000,-1000.000,-614.258,999.512
1737965906.696,-390.625,-594.238,-655.762,-1000.000,515.137
1737965906.700,980.957,881.348,578.125,-860.352,-932.617
1737965906.703,862.793,900.391,793.945,569.824,-923.340
1737965906.707,-567.871,-589.355,-467.773,999.512,556.152
1737965906.711,-1000.000,-1000.000,-1000.000,-450.195,999.512
1737965906.715,-656.250,-759.766,-773.438,-1000.000,746.582
1737965906.719,815.430,696.289,490.234,-880.859,-709.473
1737965906.722,970.215,999.512,816.895,481.445,-1000.000
1737965906.726,-509.277,-453.125,-352.051,999.512,448.242
1737965906.730,-1000.000,-1000.000,-1000.000,-248.047,999.512
1737965906.734,-788.086,-844.238,-889.648,-1000.000,804.688
1737965906.738,634.766,539.062,296.875,-958.008,-598.145
1737965906.742,999.512,999.512,847.656,274.902,-1000.000
1737965906.746,-334.473,-222.168,-132.812,999.512,268.555
1737965906.749,-1000.000,-1000.000,-949.707,168.457,999.512
1737965906.753,-836.426,-833.008,-998.535,-994.141,795.898
1737965906.757,522.461,512.207,95.703,-1000.000,-539.551
1737965906.761,999.512,999.512,869.629,42.480,-1000.000
1737965906.765,-35.645,180.664,30.762,999.512,-205.566
1737965906.766,-1000.000,-1000.000,-896.484,547.363,999.512
1737965906.770,-841.797,-932.617,-1000.000,-808.105,913.086
1737965906.774,509.277,419.922,-97.168,-1000.000,-422.852
1737965906.778,999.512,999.512,841.309,-349.121,-1000.000
1737965906.782,424.805,533.203,250.488,999.512,-554.199
1737965906.786,-939.941,-857.422,-801.758,775.391,836.914
1737965906.790,-1000.000,-1000.000,-1000.000,-661.133,999.512
1737965906.793,371.094,255.859,-229.980,-1000.000,-297.852
1737965906.797,999.512,999.512,822.754,-642.090,-1000.000
1737965906.801,580.078,604.004,393.066,851.562,-592.773
1737965906.805,-764.648,-700.684,-723.633,909.668,725.098
1737965906.809,-1000.000,-1000.000,-1000.000,-593.262,999.512
1737965906.811,191.406,-112.305,-446.289,-1000.000,-12.207
1737965906.815,999.512,999.512,735.840,-780.762,-1000.000
1737965906.819,799.316,823.242,605.957,719.727,-821.777
1737965906.823,-542.969,-546.387,-654.785,942.383,534.668
1737965906.827,-1000.000,-1000.000,-1000.000,-610.840,999.512
1737965906.831,-194.824,-524.902,-596.191,-1000.000,526.855
1737965906.835,999.512,920.410,632.812,-862.305,-921.875
1737965906.838,832.520,886.719,710.938,573.730,-926.270
1737965906.842,-551.758,-581.543,-572.754,999.512,551.758
1737965906.846,-1000.000,-1000.000,-1000.000,-465.332,999.512
1737965906.850,-623.535,-722.656,-741.699,-1000.000,676.270
1737965906.854,863.770,747.559,486.328,-845.215,-798.828
1737965906.871,906.738,995.605,805.176,540.039,-1000.000
1737965906.875,-591.309,-498.535,-301.758,999.512,497.559
1737965906.879,-1000.000,-1000.000,-1000.000,-255.859,999.512
1737965906.883,-777.832,-836.426,-863.281,-1000.000,797.852
1737965906.887,651.367,562.500,421.387,-907.227,-627.441
1737965906.891,999.512,999.512,890.625,372.070,-1000.000
1737965906.895,-361.816,-291.992,-179.688,999.512,356.934
1737965906.898,-1000.000,-1000.000,-991.699,196.777,999.512
1737965906.902,-834.961,-832.520,-930.176,-981.934,796.387
1737965906.906,521.484,516.113,269.531,-1000.000,-542.969
1737965906.910,999.512,999.512,886.719,64.941,-1000.000
1737965906.914,-35.645,71.289,-18.555,999.512,-114.258
1737965906.917,-1000.000,-1000.000,-901.855,553.711,999.512
1737965906.921,-845.215,-884.277,-1000.000,-792.969,847.656
1737965906.925,512.695,470.703,-77.148,-1000.000,-521.973
1737965906.929,999.512,999.512,839.844,-416.992,-1000.000
1737965906.933,352.051,475.586,228.027,986.328,-436.523
1737965906.937,-993.652,-901.367,-804.688,708.984,904.297
1737965906.941,-950.684,-1000.000,-1000.000,-679.199,999.512
1737965906.944,447.266,303.223,-216.797,-1000.000,-338.867
1737965906.948,999.512,999.512,846.680,-693.848,-1000.000
1737965906.952,604.980,670.410,445.801,815.918,-675.781
1737965906.956,-805.664,-711.426,-742.676,920.410,704.102
1737965906.960,-1000.000,-1000.000,-1000.000,-604.004,999.512
1737965906.961,238.281,6.348,-342.773,-1000.000,-32.715
1737965906.965,999.512,999.512,765.137,-868.652,-1000.000
1737965906.969,737.793,805.664,540.039,611.328,-815.430
1737965906.973,-629.395,-564.453,-682.617,961.426,566.406
1737965906.977,-1000.000,-1000.000,-1000.000,-614.258,999.512
1737965906.981,-97.656,-332.031,-466.797,-1000.000,237.793
1737965906.985,999.512,994.629,678.223,-858.398,-1000.000
1737965906.988,816.895,854.980,682.617,565.430,-876.465
1737965906.992,-542.480,-564.453,-533.691,999.512,528.809
1737965906.996,-1000.000,-1000.000,-1000.000,-422.852,999.512
1737965907.000,-580.566,-686.523,-729.004,-1000.000,640.625
1737965907.004,897.461,797.852,532.227,-841.309,-833.984
1737965907.006,895.508,953.613,804.688,524.902,-982.422
1737965907.010,-586.426,-551.758,-442.383,999.512,516.602
1737965907.014,-1000.000,-1000.000,-1000.000,-143.066,999.512
1737965907.018,-725.586,-822.266,-819.824,-1000.000,792.480
1737965907.022,726.562,594.238,424.805,-946.777,-641.113
1737965907.026,999.512,999.512,843.262,311.035,-1000.000
1737965907.030,-427.246,-353.516,-246.582,999.512,384.766
1737965907.033,-1000.000,-1000.000,-1000.000,286.621,999.512
1737965907.037,-845.215,-836.426,-928.711,-947.266,816.406
1737965907.041,539.062,523.438,229.492,-1000.000,-576.172
1737965907.045,999.512,999.512,862.305,21.484,-1000.000
1737965907.049,-236.816,-41.504,15.137,999.512,216.309
1737965907.052,-1000.000,-1000.000,-886.719,579.590,999.512
1737965907.056,-830.078,-856.445,-1000.000,-785.645,795.898
1737965907.060,510.254,492.676,-5.859,-1000.000,-520.020
1737965907.064,999.512,999.512,867.188,-375.488,-1000.000
1737965907.068,167.480,378.418,161.133,999.512,-409.180
1737965907.072,-1000.000,-955.078,-854.492,799.316,904.785
1737965907.076,-922.363,-1000.000,-1000.000,-644.043,999.512
1737965907.079,433.105,343.750,-92.773,-1000.000,-289.062
1737965907.083,999.512,999.512,866.211,-593.750,-1000.000
1737965907.087,578.125,628.906,365.723,882.812,-629.883
1737965907.091,-837.402,-764.648,-745.117,899.414,776.855
1737965907.095,-1000.000,-1000.000,-1000.000,-584.961,999.512
1737965907.097,285.645,109.863,-313.965,-1000.000,-189.941
1737965907.101,999.512,999.512,792.969,-704.590,-1000.000
1737965907.105,746.094,791.016,540.527,796.387,-725.586
1737965907.109,-643.555,-583.008,-684.082,923.828,651.367
1737965907.113,-1000.000,-1000.000,-1000.000,-597.656,999.512
1737965907.117,101.562,-107.910,-335.449,-1000.000,108.887
1737965907.121,999.512,999.512,772.949,-776.855,-1000.000
1737965907.124,797.363,816.895,670.898,724.121,-857.422
1737965907.128,-536.133,-544.434,-604.004,941.406,517.090
1737965907.132,-1000.000,-1000.000,-1000.000,-608.398,999.512
1737965907.136,-391.602,-639.648,-663.086,-1000.000,547.852
1737965907.140,979.980,845.215,558.594,-843.262,-908.691
1737965907.141,862.793,926.270,748.047,610.840,-945.312
1737965907.145,-569.824,-570.312,-520.508,999.512,534.668
1737965907.149,-1000.000,-1000.000,-1000.000,-503.906,999.512
1737965907.153,-698.242,-787.109,-794.434,-1000.000,759.277
1737965907.157,766.602,649.414,424.316,-852.539,-714.844
1737965907.161,999.512,999.512,844.238,555.176,-1000.000
1737965907.165,-480.957,-398.438,-167.480,999.512,508.789
1737965907.168,-1000.000,-1000.000,-974.121,-346.680,999.512
1737965907.172,-840.820,-840.820,-932.617,-1000.000,804.199
1737965907.176,548.828,531.738,291.992,-840.820,-576.660
1737965907.180,999.512,999.512,873.535,530.273,-1000.000
1737965907.184,-265.137,-141.602,-127.930,999.512,183.594
1737965907.187,-1000.000,-1000.000,-969.727,-109.863,999.512
1737965907.191,-829.102,-837.402,-973.145,-1000.000,823.730
1737965907.195,509.277,511.230,155.762,-848.633,-504.883
1737965907.199,999.512,999.512,856.445,515.137,-1000.000
1737965907.203,163.086,263.672,54.199,999.512,-279.785
1737965907.207,-1000.000,-1000.000,-869.141,159.668,988.770
1737965907.211,-865.234,-962.402,-1000.000,-1000.000,922.852
1737965907.214,519.043,393.555,-147.461,-958.008,-449.219
1737965907.218,999.512,999.512,829.590,362.305,-1000.000
1737965907.222,533.691,583.008,336.426,999.512,-425.293
1737965907.226,-891.602,-818.359,-750.488,572.754,886.719
1737965907.230,-1000.000,-1000.000,-1000.000,-841.797,999.512
1737965907.247,368.652,205.078,-277.344,-1000.000,-218.750
1737965907.251,999.512,999.512,811.523,267.090,-1000.000
1737965907.255,671.387,734.863,461.914,999.512,-706.055
1737965907.259,-717.285,-624.023,-721.680,729.492,646.973
1737965907.263,-1000.000,-1000.000,-1000.000,-637.207,999.512
1737965907.267,68.848,-197.754,-379.883,-1000.000,277.832
1737965907.271,999.512,999.512,753.418,-105.469,-1000.000
1737965907.274,805.176,835.449,606.445,999.512,-872.070
1737965907.278,-539.062,-552.734,-623.535,822.266,549.805
1737965907.282,-1000.000,-1000.000,-1000.000,-545.410,999.512
1737965907.286,-390.625,-580.078,-646.484,-1000.000,500.977
1737965907.290,980.469,888.672,548.340,-561.523,-939.453
1737965907.293,862.793,897.461,753.906,902.344,-920.410
1737965907.297,-567.871,-587.891,-450.195,893.555,552.246
1737965907.301,-1000.000,-1000.000,-1000.000,-586.914,999.512
1737965907.305,-658.203,-758.301,-779.297,-1000.000,716.797
1737965907.309,820.801,705.566,474.121,-759.766,-756.348
1737965907.313,953.613,999.512,811.523,709.473,-1000.000
1737965907.317,-535.156,-480.469,-353.516,999.512,491.211
1737965907.320,-1000.000,-1000.000,-1000.000,-498.047,999.512
1737965907.324,-788.086,-847.168,-827.148,-1000.000,817.871
1737965907.328,633.789,543.457,395.020,-847.168,-586.914
1737965907.332,999.512,999.512,829.102,543.945,-1000.000
1737965907.336,-334.473,-267.578,-188.965,999.512,301.270
1737965907.336,-1000.000,-1000.000,-969.238,-281.250,999.512
1737965907.340,-836.426,-832.031,-983.887,-1000.000,799.316
1737965907.344,522.461,513.672,102.539,-839.355,-545.898
1737965907.348,999.512,999.512,873.047,501.953,-1000.000
1737965907.352,-35.645,117.188,43.945,999.512,-104.492
1737965907.356,-1000.000,-1000.000,-890.625,87.891,999.512
1737965907.360,-845.215,-922.852,-1000.000,-1000.000,887.207
1737965907.363,512.695,418.457,-102.051,-982.910,-449.219
1737965907.367,999.512,999.512,846.680,287.598,-1000.000
1737965907.371,344.238,501.953,257.324,999.512,-461.914
1737965907.375,-975.586,-875.488,-804.688,484.863,860.352
1737965907.379,-999.512,-1000.000,-1000.000,-842.285,999.512
1737965907.381,354.980,246.094,-166.992,-1000.000,-164.062
1737965907.385,999.512,999.512,830.566,-154.297,-1000.000
1737965907.389,604.492,691.406,395.508,999.512,-703.613
1737965907.393,-799.805,-691.406,-742.188,696.289,704.590
1737965907.397,-1000.000,-1000.000,-1000.000,-700.195,999.512
1737965907.401,192.383,-0.977,-339.355,-1000.000,-74.707
1737965907.405,999.512,999.512,738.281,-580.566,-1000.000
1737965907.408,788.086,814.453,596.191,893.066,-770.508
1737965907.412,-579.590,-557.617,-625.000,895.996,614.746
1737965907.416,-1000.000,-1000.000,-1000.000,-585.938,999.512
1737965907.420,0.488,-219.238,-388.672,-1000.000,160.156
1737965907.424,999.512,999.512,694.336,-743.164,-1000.000
1737965907.427,799.805,832.031,659.180,759.277,-861.816
1737965907.431,-535.156,-556.152,-557.617,933.594,522.461
1737965907.435,-1000.000,-1000.000,-1000.000,-607.422,999.512
1737965907.439,-583.984,-712.402,-716.797,-1000.000,649.902
1737965907.443,895.020,762.695,489.258,-853.516,-823.730
1737965907.447,896.484,984.375,793.945,592.773,-987.305
1737965907.451,-589.844,-512.695,-353.027,999.512,513.184
1737965907.454,-1000.000,-1000.000,-1000.000,-490.234,999.512
1737965907.458,-769.043,-834.961,-849.609,-1000.000,800.293
1737965907.462,679.199,568.848,389.160,-846.680,-648.926
1737965907.466,999.512,999.512,859.863,543.457,-1000.000
1737965907.470,-429.688,-311.523,-148.926,999.512,443.848
1737965907.473,-1000.000,-1000.000,-970.703,-270.508,999.512
