timestamps,TP9,AF7,AF8,TP10,Right AUX
1738836516.276,-956.055,-952.637,-671.875,-887.695,896.484
1738836516.280,-1000.000,-1000.000,-844.727,-1000.000,999.512
1738836516.284,-627.930,-795.410,-918.945,-857.910,751.953
1738836516.288,965.820,743.652,-85.938,581.055,-748.535
1738836516.292,605.957,732.422,354.004,931.641,-857.910
1738836516.296,-894.531,-824.219,-554.199,-615.723,684.082
1738836516.300,-1000.000,-1000.000,-822.266,-1000.000,999.512
1738836516.303,-858.398,-979.492,-893.066,-1000.000,966.797
1738836516.307,580.566,348.145,-136.719,160.645,-288.086
1738836516.311,930.664,999.512,438.965,999.512,-1000.000
1738836516.315,-615.723,-523.438,-443.848,-270.508,332.031
1738836516.319,-1000.000,-1000.000,-808.594,-1000.000,999.512
1738836516.321,-1000.000,-1000.000,-953.613,-1000.000,999.512
1738836516.325,160.156,51.270,-388.184,-60.059,-66.895
1738836516.329,999.512,999.512,509.277,999.512,-1000.000
1738836516.333,-270.996,-211.914,-248.535,-60.059,112.793
1738836516.337,-1000.000,-1000.000,-832.520,-1000.000,999.512
1738836516.341,-1000.000,-1000.000,-929.688,-1000.000,999.512
1738836516.345,-60.059,-160.156,-469.238,-270.508,159.180
1738836516.348,999.512,999.512,519.531,999.512,-1000.000
1738836516.352,-60.059,2.930,-154.297,171.387,-92.285
1738836516.356,-1000.000,-1000.000,-834.473,-1000.000,999.512
1738836516.360,-1000.000,-1000.000,-907.227,-1000.000,999.512
1738836516.364,-270.508,-266.113,-625.000,-255.371,231.445
1738836516.366,999.512,999.512,446.777,999.512,-1000.000
1738836516.370,171.387,165.039,-11.230,171.875,-202.637
1738836516.374,-1000.000,-1000.000,-791.504,-1000.000,999.512
1738836516.378,-1000.000,-1000.000,-873.535,-1000.000,999.512
1738836516.382,-255.371,-255.859,-729.492,-255.371,224.121
1738836516.386,999.512,999.512,371.094,999.512,-1000.000
1738836516.390,171.387,167.969,136.719,163.086,-198.242
1738836516.393,-1000.000,-1000.000,-745.117,-1000.000,998.535
1738836516.397,-1000.000,-1000.000,-878.906,-1000.000,999.512
1738836516.401,-255.371,-328.613,-816.406,-441.406,322.754
1738836516.405,999.512,999.512,273.926,999.512,-1000.000
1738836516.409,163.574,201.172,113.281,383.789,-300.781
1738836516.412,-1000.000,-1000.000,-851.562,-962.402,965.820
1738836516.416,-1000.000,-1000.000,-832.031,-1000.000,999.512
1738836516.420,-416.016,-520.996,-851.562,-593.750,509.766
1738836516.424,999.512,999.512,91.309,989.258,-1000.000
1738836516.428,379.395,413.574,228.516,597.656,-498.535
1738836516.432,-960.449,-966.309,-666.992,-883.301,910.645
1738836516.436,-1000.000,-1000.000,-761.719,-1000.000,999.512
1738836516.439,-541.016,-713.379,-915.527,-767.578,665.527
1738836516.443,999.512,866.699,-49.805,699.707,-881.348
1738836516.447,585.449,639.648,370.605,911.133,-767.090
1738836516.451,-875.977,-886.230,-583.496,-604.004,748.535
1738836516.455,-1000.000,-1000.000,-838.379,-1000.000,999.512
1738836516.471,-733.887,-927.734,-933.594,-965.820,879.395
1738836516.475,747.559,477.539,-171.875,287.598,-478.027
1738836516.479,890.137,933.105,409.180,999.512,-1000.000
1738836516.483,-614.258,-631.348,-484.375,-279.785,440.430
1738836516.487,-1000.000,-1000.000,-819.824,-1000.000,999.512
1738836516.491,-937.500,-1000.000,-903.320,-1000.000,999.512
1738836516.495,350.098,109.863,-234.375,38.086,-71.777
1738836516.498,999.512,999.512,483.398,999.512,-1000.000
1738836516.502,-309.082,-301.270,-346.191,-82.031,162.598
1738836516.506,-1000.000,-1000.000,-816.406,-1000.000,999.512
1738836516.510,-1000.000,-1000.000,-928.711,-1000.000,999.512
1738836516.514,45.410,-107.422,-495.117,-166.504,90.332
1738836516.516,999.512,999.512,493.652,999.512,-1000.000
1738836516.520,-102.051,-73.242,-131.348,114.746,-29.297
1738836516.524,-1000.000,-1000.000,-829.590,-1000.000,999.512
1738836516.528,-1000.000,-1000.000,-916.016,-1000.000,999.512
1738836516.532,-165.527,-269.043,-604.492,-258.789,226.562
1738836516.536,999.512,999.512,466.797,999.512,-1000.000
1738836516.540,83.496,141.113,-30.762,171.875,-194.824
1738836516.543,-1000.000,-1000.000,-830.078,-1000.000,999.512
1738836516.547,-1000.000,-1000.000,-863.281,-1000.000,999.512
1738836516.551,-261.230,-257.812,-641.113,-255.371,224.609
1738836516.555,999.512,999.512,395.508,999.512,-1000.000
1738836516.559,170.898,169.922,44.922,166.504,-200.684
1738836516.561,-1000.000,-1000.000,-800.781,-1000.000,999.512
1738836516.565,-1000.000,-1000.000,-872.070,-1000.000,999.512
1738836516.569,-255.371,-284.180,-799.316,-361.328,265.137
1738836516.573,999.512,999.512,292.969,999.512,-1000.000
1738836516.577,165.527,166.504,107.422,274.414,-246.094
1738836516.581,-1000.000,-1000.000,-819.336,-998.047,980.469
1738836516.585,-1000.000,-1000.000,-847.168,-1000.000,999.512
1738836516.588,-361.328,-475.586,-865.234,-548.828,463.867
1738836516.592,999.512,999.512,205.078,999.512,-1000.000
1738836516.596,273.438,350.098,257.324,498.047,-442.871
1738836516.600,-998.047,-984.863,-769.531,-932.617,928.223
1738836516.604,-1000.000,-1000.000,-839.355,-1000.000,999.512
1738836516.606,-548.828,-658.691,-884.766,-751.465,620.117
1738836516.610,999.512,940.918,-9.277,780.762,-947.266
1738836516.614,496.094,569.336,296.387,775.879,-692.383
1738836516.618,-924.805,-914.551,-606.934,-755.371,796.875
1738836516.622,-1000.000,-1000.000,-802.734,-1000.000,999.512
1738836516.626,-678.223,-806.152,-874.512,-895.020,769.043
1738836516.630,881.348,691.895,-64.453,462.402,-709.961
1738836516.633,762.207,852.539,465.332,999.512,-910.645
1738836516.637,-758.789,-699.219,-414.062,-449.707,635.254
1738836516.641,-1000.000,-1000.000,-834.961,-1000.000,999.512
1738836516.645,-935.547,-1000.000,-947.266,-1000.000,992.188
1738836516.649,397.949,208.496,-228.516,48.828,-187.012
1738836516.651,999.512,999.512,494.141,999.512,-1000.000
1738836516.655,-450.195,-382.812,-383.301,-166.992,227.539
1738836516.659,-1000.000,-1000.000,-826.660,-1000.000,999.512
1738836516.663,-1000.000,-1000.000,-919.434,-1000.000,999.512
1738836516.667,48.340,-33.691,-457.031,-167.480,28.809
1738836516.671,999.512,999.512,492.188,999.512,-1000.000
1738836516.675,-162.598,-129.395,-184.082,55.176,51.758
1738836516.678,-1000.000,-1000.000,-778.320,-1000.000,999.512
1738836516.682,-1000.000,-1000.000,-854.980,-1000.000,999.512
1738836516.686,-93.262,-241.699,-603.516,-263.184,202.637
1738836516.690,999.512,999.512,439.941,999.512,-1000.000
1738836516.694,45.898,91.309,-73.242,171.387,-162.598
1738836516.697,-1000.000,-1000.000,-834.961,-1000.000,999.512
1738836516.701,-1000.000,-1000.000,-899.414,-1000.000,999.512
1738836516.705,-263.184,-261.230,-666.992,-255.371,226.562
1738836516.709,999.512,999.512,420.410,999.512,-1000.000
1738836516.713,170.898,171.387,26.367,168.945,-201.172
1738836516.717,-1000.000,-1000.000,-804.688,-1000.000,999.512
1738836516.721,-1000.000,-1000.000,-845.215,-1000.000,999.512
1738836516.724,-255.371,-255.371,-714.844,-313.477,255.859
1738836516.728,999.512,999.512,331.055,999.512,-1000.000
1738836516.732,171.387,164.062,68.359,270.020,-217.773
1738836516.736,-1000.000,-1000.000,-823.730,-996.094,991.699
1738836516.740,-1000.000,-1000.000,-837.891,-1000.000,999.512
1738836516.741,-261.719,-416.504,-839.355,-455.566,397.949
1738836516.745,999.512,999.512,192.383,999.512,-1000.000
1738836516.749,261.230,285.645,181.641,471.191,-375.977
1738836516.753,-991.699,-1000.000,-789.551,-920.410,945.801
1738836516.757,-1000.000,-1000.000,-856.445,-1000.000,999.512
1738836516.761,-455.078,-597.656,-895.020,-614.746,563.965
1738836516.765,999.512,999.512,102.051,938.477,-1000.000
1738836516.768,453.125,497.070,329.590,719.238,-584.961
1738836516.772,-929.199,-947.754,-702.148,-771.484,877.930
1738836516.776,-1000.000,-1000.000,-837.891,-1000.000,999.512
1738836516.780,-618.652,-815.430,-930.176,-844.238,759.277
1738836516.784,948.730,709.473,-107.910,557.617,-717.285
1738836516.786,675.293,756.836,370.117,999.512,-910.645
1738836516.790,-818.848,-807.129,-544.434,-493.164,615.234
1738836516.794,-1000.000,-1000.000,-810.059,-1000.000,999.512
1738836516.798,-851.562,-999.023,-946.289,-1000.000,945.801
1738836516.802,571.289,304.688,-233.398,156.250,-348.145
1738836516.806,961.914,999.512,521.973,999.512,-1000.000
1738836516.810,-567.871,-500.977,-339.355,-219.238,409.668
1738836516.813,-1000.000,-1000.000,-836.426,-1000.000,999.512
1738836516.817,-1000.000,-1000.000,-962.402,-1000.000,999.512
1738836516.821,161.133,13.184,-341.309,-60.059,-27.344
