timestamps,TP9,AF7,AF8,TP10,Right AUX
1738235154.156,-13.184,23.926,73.730,-19.043,-324.219
1738235154.160,-17.090,-16.602,59.082,-14.648,-313.965
1738235154.164,-34.668,-38.086,47.363,-12.695,-258.301
1738235154.168,-37.109,-63.965,50.293,-13.672,-27.832
1738235154.172,-36.133,-34.180,45.410,-37.598,-129.883
1738235154.176,-30.273,3.906,22.461,-10.742,-191.406
1738235154.180,-19.043,27.832,16.113,13.184,-84.961
1738235154.183,-29.785,23.438,16.602,-16.113,-45.410
1738235154.187,-37.109,10.254,8.789,-39.062,460.938
1738235154.191,-40.527,85.449,15.625,-57.617,209.473
1738235154.195,-39.062,109.375,25.391,-44.434,-381.836
1738235154.199,-26.855,52.246,34.180,-17.578,-108.398
1738235154.202,-31.738,17.090,37.109,-6.348,331.055
1738235154.206,-46.875,35.156,34.668,-1.953,211.914
1738235154.210,-33.203,27.344,36.133,-19.531,-229.004
1738235154.214,-19.531,-7.812,35.645,-31.250,-294.922
1738235154.218,-16.602,4.395,32.715,-33.203,-197.754
1738235154.222,-33.203,-24.902,26.855,-23.926,-137.695
1738235154.226,-49.316,-61.523,15.137,-11.719,90.332
1738235154.229,-33.203,-41.016,14.648,-32.227,154.297
1738235154.233,-21.973,-31.250,17.090,-50.781,259.766
1738235154.237,-30.762,-33.203,18.066,-40.527,-175.781
1738235154.241,-30.273,-88.379,8.301,-16.602,-351.074
1738235154.245,-33.203,-126.953,2.930,-16.113,55.664
1738235154.261,-33.691,-79.590,9.277,-55.176,-62.012
1738235154.265,-22.949,-63.477,5.371,-62.012,-394.531
1738235154.269,-23.926,-78.613,3.906,-47.852,-310.059
1738235154.273,-43.457,-75.195,6.836,-35.645,-129.395
1738235154.277,-56.152,-86.914,12.207,-14.160,33.691
1738235154.281,-38.574,-80.078,17.578,-22.949,88.379
1738235154.285,-22.949,-74.707,32.715,-36.621,-153.809
1738235154.288,-17.090,-101.074,46.875,-38.574,144.531
1738235154.292,-18.555,-86.914,47.852,-33.203,250.000
1738235154.296,-32.227,-60.059,55.176,-12.695,-20.996
1738235154.300,-30.762,-34.180,63.965,-16.602,25.391
1738235154.304,-27.832,-10.254,73.242,-30.273,-13.672
1738235154.291,-29.785,-23.926,74.219,-42.969,-276.855
1738235154.295,-30.273,-67.871,68.848,-58.105,-386.719
1738235154.299,-40.527,-121.094,68.359,-30.273,-23.438
1738235154.303,-49.316,-115.234,73.242,-36.133,212.402
1738235154.307,-34.668,-88.379,83.984,-71.289,-195.312
1738235154.311,-21.484,-104.004,85.938,-63.477,-360.840
1738235154.315,-16.602,-95.215,82.031,-38.086,-7.812
1738235154.318,-24.414,-64.453,76.172,-7.812,276.855
1738235154.322,-40.039,-41.992,74.219,-23.926,86.426
1738235154.326,-28.809,-35.645,69.824,-57.129,-291.016
1738235154.330,-13.672,-68.848,69.336,-36.621,-117.676
1738235154.334,-20.996,-76.172,70.801,-24.902,364.258
1738235154.336,-35.645,-54.688,56.641,-21.973,112.793
1738235154.340,-32.715,-58.105,49.316,-22.461,6.836
1738235154.344,-30.273,-39.062,51.758,-46.387,-75.195
1738235154.348,-28.809,-18.066,45.898,-44.922,-353.027
1738235154.352,-24.414,-14.160,43.457,-29.785,-406.738
1738235154.356,-29.785,-44.922,42.969,0.488,23.926
1738235154.360,-30.273,-61.035,45.410,5.859,630.859
1738235154.363,-24.414,-17.578,38.574,-41.992,154.297
1738235154.367,-19.531,-19.043,24.414,-54.199,-381.836
1738235154.371,-15.625,-47.363,20.996,-37.109,-312.988
1738235154.375,-27.344,-71.777,19.043,-7.812,176.270
1738235154.379,-32.227,-66.895,9.766,-2.930,257.324
1738235154.396,-23.438,-49.805,8.301,-35.156,-219.727
1738235154.400,-18.066,-67.871,9.277,-43.945,-288.574
1738235154.404,-17.090,-74.219,14.160,-35.645,-50.293
1738235154.408,-26.367,-62.988,18.066,-25.879,-171.875
1738235154.412,-38.086,-74.707,18.555,-7.324,-44.922
1738235154.416,-30.762,-69.336,20.020,-23.438,39.551
1738235154.420,-24.414,-59.082,16.602,-30.762,-55.664
1738235154.423,-28.320,-55.664,12.207,-35.156,-139.648
1738235154.427,-20.020,-70.801,13.672,-23.438,-306.152
1738235154.431,-25.391,-99.121,15.625,7.812,159.180
1738235154.435,-28.320,-67.871,11.230,-15.137,408.691
1738235154.439,-20.508,-28.320,10.254,-47.852,-174.805
1738235154.456,-10.742,-37.109,12.695,-52.246,-366.211
1738235154.460,-7.812,-56.152,13.672,-26.855,-18.555
1738235154.464,-25.879,-52.246,7.324,0.000,196.289
1738235154.468,-18.555,-33.203,5.859,-12.207,-6.836
1738235154.472,-6.836,-20.996,16.602,-35.156,-219.238
1738235154.476,-16.113,-23.438,12.207,-41.992,-35.645
1738235154.480,-27.344,-21.973,1.465,-41.016,-54.199
1738235154.483,-35.645,-14.160,-1.953,-21.484,-43.945
1738235154.487,-26.855,-4.395,-10.254,-28.809,93.750
1738235154.491,-11.719,-1.465,-9.277,-36.621,239.746
1738235154.495,-10.254,20.020,-6.348,-41.016,-49.316
1738235154.499,-14.160,18.066,-0.488,-38.086,-277.344
1738235154.474,-25.391,-11.230,2.930,-5.859,88.379
1738235154.478,-47.363,-15.625,2.930,-14.160,641.113
1738235154.482,-44.922,24.902,7.812,-47.852,209.961
1738235154.486,-26.855,16.113,9.766,-35.645,-418.945
1738235154.490,-17.578,-19.043,2.441,-29.297,-324.219
1738235154.494,-22.461,-36.133,0.000,-20.996,82.520
1738235154.498,-38.574,-23.438,0.977,-21.484,252.441
1738235154.501,-34.180,5.371,1.953,-42.480,-166.016
1738235154.505,-20.020,-3.906,3.906,-29.297,-233.887
1738235154.509,-24.902,-5.371,6.348,-21.484,-174.316
1738235154.513,-27.832,-7.812,2.930,-23.926,-166.016
1738235154.517,-26.367,-9.766,-7.812,-27.832,-9.766
1738235154.531,-29.785,-20.508,-8.789,-44.922,62.988
1738235154.535,-41.504,-22.461,-2.441,-42.969,-16.602
1738235154.539,-35.645,-34.668,1.465,-21.484,-278.809
1738235154.543,-22.949,-80.566,2.930,-14.160,-190.430
1738235154.547,-33.203,-105.469,9.766,-23.438,493.652
1738235154.551,-44.434,-67.383,16.602,-51.270,641.113
1738235154.555,-41.016,-32.227,14.648,-55.664,-133.301
1738235154.558,-27.832,-48.828,17.090,-38.574,-341.309
1738235154.562,-22.461,-76.660,15.137,-24.414,197.266
1738235154.566,-38.574,-52.734,13.672,-22.461,247.070
1738235154.570,-28.320,-20.020,16.113,-44.922,-196.777
1738235154.574,-4.883,-33.203,15.625,-50.781,-151.367
1738235154.576,-22.461,-42.480,21.484,-44.922,51.270
1738235154.580,-39.062,-32.715,26.855,-30.273,-161.133
1738235154.584,-33.691,-46.387,35.645,-12.695,-85.449
1738235154.588,-25.879,-38.086,41.992,-36.621,-88.379
1738235154.592,-19.531,-22.461,39.551,-46.387,-301.758
1738235154.596,-21.484,-33.203,46.387,-39.062,-258.789
1738235154.600,-27.832,-43.457,52.734,-36.133,-220.703
1738235154.603,-36.621,-69.824,43.457,-22.949,197.754
1738235154.607,-30.762,-58.594,41.992,-41.016,667.480
1738235154.611,-18.066,-9.766,42.480,-53.223,0.488
1738235154.615,-15.137,-32.715,37.598,-41.016,-437.988
1738235154.619,-33.691,-67.383,37.598,-39.062,-228.027
1738235154.681,-50.781,-62.500,42.969,-23.926,-42.480
1738235154.685,-42.969,-39.551,48.340,-28.809,-70.312
1738235154.689,-27.832,-31.250,42.480,-51.758,-271.484
1738235154.693,-23.926,-40.039,28.320,-42.480,-257.812
1738235154.697,-27.832,-41.016,28.320,-29.297,-272.461
1738235154.701,-32.227,-56.641,31.738,-3.906,36.621
1738235154.705,-32.715,-56.641,35.156,-8.301,279.297
1738235154.708,-27.344,-45.410,38.086,-33.691,278.320
1738235154.712,-28.320,0.977,26.855,-33.203,-13.672
1738235154.716,-25.391,27.832,13.672,-37.109,-357.910
1738235154.720,-25.391,-6.348,12.207,-17.090,-41.016
1738235154.724,-40.039,5.859,6.348,-23.438,280.762
1738235154.685,-41.016,56.152,4.883,-63.477,-121.094
1738235154.689,-33.691,45.410,6.348,-49.805,-395.508
1738235154.693,-31.250,15.137,-1.465,-28.809,-229.004
1738235154.697,-35.645,3.906,-4.883,-14.160,31.738
1738235154.701,-41.504,-1.465,-2.930,-17.090,32.715
1738235154.705,-29.297,19.531,-0.977,-41.992,-118.652
1738235154.709,-23.438,25.391,-4.883,-43.945,-58.105
1738235154.712,-23.926,21.484,-13.184,-36.621,-80.078
1738235154.716,-25.391,3.906,-20.996,-26.367,-138.672
1738235154.720,-44.922,12.695,-28.809,-21.973,-88.867
1738235154.724,-48.828,41.504,-24.902,-36.133,135.742
1738235154.728,-34.180,69.336,-21.484,-32.715,423.828
1738235154.726,-34.180,113.770,-18.555,-44.434,-135.254
1738235154.730,-34.180,85.449,-8.301,-47.363,-207.520
1738235154.734,-41.992,50.293,0.000,-30.762,282.715
1738235154.738,-45.410,84.473,0.000,-44.922,-51.270
1738235154.742,-23.438,94.238,1.465,-44.922,-392.090
1738235154.746,-12.695,75.195,4.883,-28.320,-154.297
1738235154.750,-19.043,72.754,0.977,-19.531,116.211
1738235154.753,-28.809,84.473,1.953,-26.367,126.465
1738235154.757,-26.855,103.516,11.719,-37.109,-153.320
1738235154.761,0.977,87.891,13.672,-35.156,-348.145
1738235154.765,17.090,48.340,8.301,-8.789,177.734
1738235154.769,-4.883,43.945,3.906,-4.883,801.758
1738235154.771,-32.227,62.012,5.371,-23.438,730.469
1738235154.775,-38.574,95.215,9.277,-39.551,173.340
1738235154.779,-33.203,104.004,7.812,-47.363,-139.160
1738235154.783,-30.762,76.660,0.977,-34.668,-350.586
1738235154.787,-24.414,36.621,-5.371,-28.320,-407.227
1738235154.791,-28.809,-10.254,-15.625,-12.695,2.441
1738235154.795,-36.133,-4.395,-15.137,-13.184,179.199
1738235154.798,-36.621,37.598,-6.348,-41.016,-218.750
1738235154.802,-45.410,34.180,-5.371,-42.480,-451.172
1738235154.806,-42.969,-7.324,0.000,-22.461,-104.492
1738235154.810,-42.969,-10.742,17.090,-18.066,441.895
1738235154.814,-41.504,32.227,43.945,-29.297,83.984
1738235154.862,-19.531,28.809,62.988,-33.691,-328.125
1738235154.866,-10.742,9.277,55.176,-34.668,-226.562
1738235154.870,-27.344,1.465,40.527,-30.762,-228.027
1738235154.874,-42.969,-43.945,39.062,-9.766,-76.660
1738235154.878,-45.410,-62.012,40.039,-10.254,86.426
1738235154.882,-42.480,-34.180,28.320,-34.668,235.840
1738235154.886,-28.320,3.418,25.879,-42.480,67.871
1738235154.889,-23.926,14.648,31.250,-26.855,-301.758
1738235154.893,-42.480,-33.203,24.902,-19.531,-98.633
1738235154.897,-51.270,-66.406,20.996,-20.508,454.590
1738235154.901,-36.621,-20.996,25.879,-26.367,150.879
1738235154.905,-31.250,-12.695,25.391,-38.086,-353.027
1738235154.866,-28.809,-50.293,21.484,-41.992,-229.492
1738235154.870,-20.020,-91.309,37.598,-28.809,158.203
1738235154.874,-36.133,-100.586,61.035,-25.391,104.980
1738235154.878,-33.203,-88.867,67.383,-39.062,-284.668
1738235154.882,-16.602,-103.027,65.430,-41.016,-302.734
1738235154.886,-20.508,-121.094,68.359,-34.668,-124.512
1738235154.890,-26.855,-126.953,66.406,-27.832,-42.969
1738235154.893,-26.367,-126.953,60.547,-27.832,118.652
1738235154.897,-21.973,-105.469,59.082,-47.363,143.066
1738235154.901,-16.113,-84.961,51.270,-49.316,-124.512
1738235154.905,-17.090,-84.473,41.992,-41.016,-382.812
1738235154.909,-13.184,-111.328,41.016,-21.484,-229.492
1738235154.906,-18.555,-134.277,39.062,-3.906,214.844
1738235154.910,-28.320,-102.539,42.480,-24.414,20.996
1738235154.914,-24.414,-87.891,50.781,-39.062,-368.652
1738235154.918,-16.602,-101.074,54.688,-22.461,-286.133
1738235154.922,-23.926,-123.535,48.340,-3.906,8.789
1738235154.926,-31.738,-127.441,39.062,-11.719,214.355
1738235154.930,-23.438,-98.145,39.551,-42.480,17.578
1738235154.933,-14.648,-92.285,37.598,-54.199,-291.992
1738235154.937,-17.090,-123.535,26.367,-36.133,150.391
1738235154.941,-16.602,-135.254,21.484,-12.207,668.945
1738235154.945,-20.020,-128.418,28.320,-2.441,803.223
1738235154.949,-39.551,-75.684,30.762,-30.762,430.664
1738235154.951,-31.738,-44.434,34.180,-49.805,-185.059
1738235154.955,-14.160,-53.223,34.668,-37.109,-416.016
1738235154.959,-19.043,-72.754,31.738,-28.809,-367.188
1738235154.963,-28.809,-92.773,34.180,-10.254,-17.090
1738235154.967,-19.531,-78.613,28.809,-19.043,64.453
1738235154.971,-0.977,-67.383,17.090,-23.926,-125.977
