timestamps,TP9,AF7,AF8,TP10,Right AUX
1738232988.373,-19.043,-18.066,-29.297,-44.434,-38.086
1738232988.377,-29.297,-20.020,-34.668,-45.410,-54.688
1738232988.381,-53.711,-14.160,-30.273,-40.527,-165.039
1738232988.385,-42.969,-10.742,-27.832,-50.781,-210.938
1738232988.389,-9.766,-8.789,-27.344,-56.152,-70.312
1738232988.393,-0.977,-9.277,-22.949,-30.762,558.594
1738232988.397,-32.715,-17.090,-30.273,-25.391,450.684
1738232988.400,-62.988,-22.461,-31.738,-27.344,-83.496
1738232988.404,-47.363,-19.531,-30.762,-31.250,-3.906
1738232988.408,-26.367,-22.949,-36.621,-56.641,-26.855
1738232988.412,-19.043,-20.020,-36.133,-62.500,-275.391
1738232988.416,-32.227,-20.996,-38.086,-55.664,-263.184
1738232988.449,-56.152,-28.809,-38.574,-46.387,-71.777
1738232988.453,-46.875,-23.926,-43.457,-29.297,-66.895
1738232988.457,-25.391,-21.484,-44.434,-29.785,-202.148
1738232988.461,-21.484,-20.996,-40.039,-48.340,-199.707
1738232988.465,-21.484,-22.949,-41.016,-43.945,-62.500
1738232988.469,-38.086,-22.949,-40.039,-20.020,-53.223
1738232988.473,-46.875,-19.531,-37.598,-27.832,27.344
1738232988.476,-17.578,-18.066,-31.738,-42.480,56.152
1738232988.480,-11.230,-22.461,-27.832,-34.180,303.223
1738232988.484,-22.461,-22.461,-28.809,-21.973,333.008
1738232988.488,-34.668,-19.531,-30.762,-13.184,-178.711
1738232988.492,-40.039,-23.926,-28.809,-0.977,-157.715
1738232988.482,-19.043,-22.461,-27.344,-33.691,40.039
1738232988.486,-1.465,-21.484,-33.203,-50.781,-166.992
1738232988.490,0.000,-23.926,-37.109,-35.156,-194.824
1738232988.494,-30.273,-30.273,-26.367,-32.227,-55.176
1738232988.498,-50.781,-31.250,-19.043,-34.668,-7.812
1738232988.502,-15.625,-24.414,-25.879,-37.598,-19.043
1738232988.506,5.859,-24.414,-26.855,-14.160,-32.715
1738232988.509,-24.902,-24.414,-24.414,-18.555,-4.883
1738232988.513,-49.805,-27.344,-30.273,-30.273,39.062
1738232988.517,-51.758,-28.320,-29.785,-18.555,-14.160
1738232988.521,-33.203,-24.414,-26.855,-26.367,-163.086
1738232988.525,-8.789,-27.344,-28.809,-20.996,-74.219
1738232988.523,-4.883,-20.020,-24.902,-7.812,-101.562
1738232988.527,-24.414,-10.742,-21.484,-20.996,-243.652
1738232988.531,-35.156,-17.090,-19.043,-17.090,-117.676
1738232988.535,-18.555,-24.414,-17.090,11.719,127.441
1738232988.539,-20.020,-20.996,-18.555,11.719,-3.906
1738232988.543,-20.020,-21.973,-19.531,-22.461,-114.746
1738232988.547,-11.230,-25.879,-27.832,-53.711,-9.277
1738232988.550,-18.555,-19.043,-26.855,-51.270,123.047
1738232988.554,-12.207,-17.578,-25.391,-47.852,-27.832
1738232988.558,-6.348,-25.391,-28.809,-42.969,-260.254
1738232988.562,-15.137,-25.879,-29.785,-33.691,-234.375
1738232988.566,-32.715,-30.762,-29.297,-22.949,312.012
1738232988.569,-56.641,-35.645,-33.203,-33.691,857.422
1738232988.573,-39.062,-32.227,-36.621,-52.246,744.141
1738232988.577,-18.555,-26.367,-34.180,-57.617,72.754
1738232988.581,-24.414,-19.043,-27.344,-53.223,-279.785
1738232988.585,-24.902,-14.648,-22.949,-36.621,-302.246
1738232988.589,-35.645,-16.113,-21.973,-26.855,-182.129
1738232988.593,-36.621,-23.926,-24.902,-37.109,95.215
1738232988.596,-28.320,-22.949,-30.273,-42.480,-58.594
1738232988.600,-25.879,-22.949,-39.551,-27.832,-303.223
1738232988.604,-32.227,-26.367,-36.621,-19.531,-342.285
1738232988.608,-51.270,-26.855,-30.273,-23.438,-23.926
1738232988.612,-50.781,-25.391,-37.109,-26.367,438.965
1738232988.599,-36.621,-26.367,-40.527,-35.156,-48.828
1738232988.603,-39.551,-28.809,-36.621,-28.320,-310.059
1738232988.607,-43.457,-31.250,-37.109,-28.809,-116.699
1738232988.611,-61.523,-30.273,-41.016,-28.809,-149.902
1738232988.615,-59.082,-27.344,-36.621,-36.621,-201.660
1738232988.619,-25.391,-30.762,-27.832,-33.691,-118.652
1738232988.623,-22.461,-30.762,-27.832,-25.391,83.008
1738232988.626,-36.133,-28.809,-35.156,-54.199,-78.613
1738232988.630,-49.316,-24.414,-37.109,-54.199,-245.605
1738232988.634,-39.062,-21.973,-32.227,-26.855,-134.277
1738232988.638,-19.043,-28.809,-32.715,-16.602,291.992
1738232988.642,-20.996,-27.344,-39.062,-29.785,239.746
1738232988.643,-27.832,-28.320,-34.180,-27.344,-86.914
1738232988.647,-62.012,-31.738,-30.273,-15.625,-56.641
1738232988.651,-60.547,-33.203,-32.715,-20.996,150.879
1738232988.655,-23.926,-31.738,-33.203,-35.156,-60.547
1738232988.659,-14.648,-29.785,-32.227,-43.457,-233.887
1738232988.663,-8.789,-37.109,-26.367,-36.621,54.199
1738232988.667,-23.438,-37.598,-22.949,-22.949,528.320
1738232988.670,-51.758,-33.203,-29.785,-24.414,141.602
1738232988.674,-27.832,-35.645,-35.645,-31.738,-241.211
1738232988.678,-3.906,-25.391,-34.668,-50.293,-72.266
1738232988.682,-20.508,-18.066,-30.273,-48.828,-137.695
1738232988.686,-41.992,-27.344,-30.273,-24.902,-276.367
1738232988.703,-45.410,-31.738,-28.320,-16.113,-180.176
1738232988.707,-19.043,-29.297,-26.367,-26.855,-60.547
1738232988.711,-7.324,-30.273,-29.785,-31.738,-135.254
1738232988.715,-9.277,-29.785,-35.645,-23.926,-266.113
1738232988.719,-20.020,-25.879,-32.227,-17.578,-117.676
1738232988.723,-31.250,-24.902,-25.391,-14.648,194.336
1738232988.727,-2.441,-26.367,-34.180,-16.113,73.242
1738232988.730,-1.465,-30.273,-27.344,-44.922,-139.648
1738232988.734,-36.621,-34.180,-14.160,-65.918,-150.879
1738232988.738,-63.965,-33.691,-15.625,-47.852,294.434
1738232988.742,-99.609,-36.621,-21.973,-57.129,318.848
1738232988.746,-83.496,-34.668,-25.391,-79.102,-156.250
1738232988.748,-66.895,-36.621,-21.484,-109.375,-133.789
1738232988.752,-87.402,-32.715,-21.973,-122.559,96.680
1738232988.756,-94.727,-31.250,-27.344,-104.004,-123.535
1738232988.760,-107.910,-38.086,-28.320,-96.191,-237.793
1738232988.764,-90.332,-31.738,-23.926,-96.680,-146.973
1738232988.768,-57.617,-26.367,-23.926,-86.914,-55.664
1738232988.772,-52.734,-26.367,-24.414,-72.266,1.465
1738232988.775,-71.777,-26.855,-20.508,-60.547,-224.609
1738232988.779,-86.914,-29.785,-16.113,-46.387,-45.410
1738232988.783,-66.406,-27.832,-19.043,-47.852,534.668
1738232988.787,-41.504,-18.066,-33.691,-59.082,39.551
1738232988.791,-41.992,-22.461,-31.738,-59.082,-338.867
1738232988.793,-50.781,-27.344,-23.926,-54.199,-96.191
1738232988.797,-69.336,-19.531,-25.879,-46.387,-118.652
1738232988.801,-57.129,-20.508,-29.785,-42.480,-202.637
1738232988.805,-23.438,-25.879,-29.297,-46.875,-224.121
1738232988.809,-26.367,-30.273,-34.668,-60.547,-144.531
1738232988.813,-50.293,-32.227,-39.062,-57.617,-50.781
1738232988.817,-67.383,-21.973,-30.273,-37.109,-83.008
1738232988.820,-62.500,-19.043,-25.879,-32.227,-110.840
1738232988.824,-34.180,-28.809,-23.926,-27.832,232.910
1738232988.828,-33.691,-29.785,-25.391,-37.109,90.332
1738232988.832,-41.992,-20.996,-26.855,-56.641,-281.250
1738232988.836,-55.664,-15.625,-24.414,-59.570,-179.688
1738232988.838,-52.734,-20.508,-22.461,-47.363,1.465
1738232988.842,-29.297,-27.344,-26.855,-36.133,7.812
1738232988.846,-20.020,-24.902,-30.762,-43.945,-268.066
1738232988.850,-21.973,-26.855,-26.367,-31.250,-287.598
1738232988.854,-45.410,-40.039,-23.438,-17.578,104.980
1738232988.858,-46.875,-39.551,-24.414,-23.438,-1.953
1738232988.862,-17.578,-31.738,-28.320,-42.969,-279.785
1738232988.865,-17.578,-38.086,-30.273,-47.363,-148.438
1738232988.869,-23.926,-41.992,-30.273,-33.691,204.102
1738232988.873,-47.852,-35.645,-37.109,-34.668,-141.602
1738232988.877,-58.105,-37.109,-39.062,-31.738,-305.176
1738232988.881,-26.855,-37.109,-31.250,-47.363,-134.766
1738232988.886,-23.438,-28.809,-27.344,-58.594,-263.184
1738232988.890,-35.645,-31.250,-28.320,-51.270,-366.699
1738232988.894,-43.457,-33.691,-32.715,-35.645,-141.113
1738232988.898,-54.199,-31.250,-38.574,-13.672,154.297
1738232988.902,-32.715,-35.156,-40.527,-36.621,-53.223
1738232988.906,-14.160,-43.457,-33.203,-63.965,-191.895
1738232988.910,-21.973,-43.945,-30.273,-73.242,-156.738
1738232988.913,-45.410,-44.922,-38.574,-59.082,137.207
1738232988.917,-63.965,-42.969,-41.016,-30.762,106.934
1738232988.921,-30.762,-38.086,-28.809,-14.160,-276.855
1738232988.925,-12.695,-42.969,-25.879,-32.715,-288.086
1738232988.929,-26.855,-45.410,-31.250,-64.941,-186.523
1738232988.943,-39.062,-41.016,-36.133,-66.406,-140.137
1738232988.947,-53.711,-37.109,-38.574,-53.711,-223.145
1738232988.951,-20.508,-35.645,-39.551,-44.922,-144.043
1738232988.955,-2.930,-32.715,-40.527,-48.828,54.199
1738232988.959,-24.902,-32.715,-39.062,-50.293,-165.527
1738232988.963,-33.691,-38.086,-45.898,-30.273,-150.879
1738232988.967,-52.734,-38.574,-45.898,2.441,197.754
1738232988.970,-41.016,-34.180,-38.574,-15.137,683.105
1738232988.974,-20.020,-30.273,-43.945,-63.965,448.242
1738232988.978,-21.484,-29.785,-42.480,-79.102,-229.980
1738232988.982,-25.879,-35.156,-37.109,-48.828,-231.445
1738232988.986,-52.734,-40.527,-41.992,-12.207,-147.949
1738232988.973,-44.922,-42.480,-45.898,-46.387,-245.605
1738232988.977,-19.043,-42.480,-42.480,-56.641,-266.113
1738232988.981,-23.438,-41.016,-39.551,-34.668,-86.914
1738232988.985,-34.180,-40.039,-45.410,-43.457,-109.375
1738232988.989,-50.293,-41.992,-48.828,-38.574,-193.848
1738232988.993,-35.156,-40.527,-46.875,-28.809,17.578
1738232988.997,-15.137,-30.273,-39.062,-40.039,223.633
1738232989.000,-20.508,-22.949,-35.156,-52.246,27.344
1738232989.004,-41.504,-25.879,-41.504,-48.828,-187.012
1738232989.008,-62.988,-37.109,-38.574,-34.180,-184.570
1738232989.012,-52.734,-39.551,-31.738,-32.715,299.805
1738232989.016,-30.762,-29.297,-37.598,-47.852,395.020
1738232989.018,-21.973,-24.902,-37.598,-36.621,-43.945
1738232989.022,-34.668,-36.621,-32.227,-4.395,-113.281
1738232989.026,-59.082,-43.457,-32.227,-7.324,148.926
1738232989.030,-52.246,-34.180,-32.227,-47.363,-16.113
1738232989.034,-27.344,-26.855,-35.645,-71.777,-253.906
1738232989.038,-24.902,-35.156,-39.062,-63.477,23.926
1738232989.042,-41.504,-33.203,-32.715,-47.852,272.949
1738232989.045,-64.941,-27.344,-28.320,-30.762,-44.922
1738232989.049,-60.059,-30.762,-25.391,-27.344,-200.195
1738232989.053,-34.668,-26.855,-28.320,-45.410,-4.395
1738232989.057,-32.227,-22.461,-30.762,-52.246,97.168
1738232989.061,-35.645,-24.414,-24.414,-46.387,-189.941
1738232989.078,-43.457,-26.367,-22.461,-24.414,-221.680
1738232989.082,-42.480,-25.391,-29.297,-12.207,12.695
1738232989.086,-11.230,-21.484,-29.785,-36.621,-90.820
1738232989.090,-2.441,-18.066,-28.809,-34.668,-256.836
1738232989.094,-13.672,-21.484,-33.203,-33.203,-156.250
1738232989.098,-42.480,-24.414,-32.715,-39.062,111.328
1738232989.102,-72.754,-24.902,-29.297,-39.062,108.887
1738232989.105,-53.711,-21.484,-36.621,-42.969,-152.344
1738232989.109,-30.762,-21.484,-34.668,-25.879,-111.328
1738232989.113,-29.297,-21.973,-27.344,-26.855,270.996
1738232989.117,-46.387,-11.719,-30.762,-51.758,42.969
1738232989.121,-64.941,-9.277,-25.879,-53.223,-130.371
1738232989.124,-37.598,-10.254,-23.926,-43.457,138.184
1738232989.128,-12.207,-9.766,-23.926,-21.484,488.281
1738232989.132,-19.043,-13.184,-27.344,-28.320,186.523
1738232989.136,-17.090,-17.578,-34.180,-46.387,-271.973
1738232989.140,-21.484,-17.090,-33.203,-34.668,-121.582
1738232989.144,-17.090,-8.789,-36.133,-25.879,101.074
1738232989.148,6.348,-5.371,-37.109,-18.555,94.238
1738232989.151,19.531,-8.789,-36.133,-14.648,-198.242
1738232989.155,14.160,-9.766,-42.480,-22.949,-107.910
1738232989.159,-23.438,-11.719,-37.598,-4.395,327.148
1738232989.163,-36.133,-9.766,-32.227,-13.672,-20.996
1738232989.167,-18.555,-6.348,-31.250,-29.297,-239.746
1738232989.169,-13.184,-5.371,-31.250,-8.789,-112.305
1738232989.173,-20.996,-0.977,-34.668,-9.766,-178.711
1738232989.177,-33.691,-0.977,-35.156,-16.602,-174.805
1738232989.181,-14.648,-1.953,-37.109,-8.789,-61.035
1738232989.185,13.184,2.441,-36.133,-1.465,-60.059
1738232989.189,24.414,-2.441,-28.809,-4.883,-146.484
1738232989.193,15.625,-16.602,-25.391,-18.066,-74.707
1738232989.196,-11.230,-20.996,-27.832,8.301,-83.984
1738232989.200,-14.648,-31.250,-27.832,57.617,312.012
1738232989.204,1.465,-25.879,-28.320,36.621,416.992
1738232989.208,11.230,-14.648,-27.344,-15.625,-209.473
1738232989.212,13.672,-15.625,-31.738,-31.738,-195.312
1738232989.214,4.395,-20.996,-36.621,-24.414,91.309
1738232989.218,-9.766,-27.832,-31.250,-25.879,-75.195
1738232989.222,0.488,-29.785,-33.691,-35.645,-221.191
1738232989.226,5.859,-32.715,-31.250,-40.039,-145.996
1738232989.230,-4.395,-28.809,-28.320,-27.344,-33.203
1738232989.234,-20.508,-25.391,-25.879,8.301,72.266
1738232989.238,-27.832,-27.832,-27.832,13.672,99.609
1738232989.241,-2.441,-32.715,-32.227,4.883,92.285
1738232989.245,10.254,-42.969,-32.715,1.465,442.383
1738232989.249,-8.789,-40.039,-31.250,-13.672,83.496
1738232989.253,-26.367,-27.344,-24.902,-14.648,-268.066
1738232989.257,-16.113,-29.297,-27.832,-9.766,-28.809
1738232989.260,6.348,-34.180,-36.621,-2.441,-104.004
1738232989.264,5.859,-32.227,-29.785,-7.324,-282.227
1738232989.268,-21.484,-32.227,-25.391,-2.441,-251.953
1738232989.272,-41.504,-28.320,-28.320,16.602,-54.199
1738232989.276,-35.156,-18.555,-30.273,-12.207,-68.848
1738232989.280,-10.742,-19.531,-30.762,-57.617,-60.547
1738232989.284,-1.953,-20.508,-27.832,-55.664,35.156
1738232989.287,2.441,-20.020,-18.066,-26.367,387.695
1738232989.291,-21.484,-21.484,-13.672,-19.531,576.660
1738232989.295,-48.828,-17.578,-21.484,-16.602,-32.715
1738232989.299,-26.367,-20.020,-21.484,-19.531,-246.582
1738232989.303,4.395,-15.625,-17.578,-25.391,-116.211
1738232989.303,2.441,-13.672,-20.020,-24.414,-154.297
1738232989.307,-32.227,-24.414,-20.020,-30.762,-253.906
1738232989.311,-43.457,-27.344,-17.578,-19.043,-116.699
1738232989.315,-25.391,-18.555,-26.367,-15.137,17.090
1738232989.319,-7.324,-17.090,-30.762,-17.090,-177.734
1738232989.323,14.648,-21.973,-17.090,9.277,-208.008
1738232989.327,-13.184,-37.598,-8.301,23.438,28.320
1738232989.330,-67.383,-49.805,-22.949,38.574,578.125
1738232989.334,-47.852,-49.316,-34.180,17.578,396.484
1738232989.338,-10.742,-54.199,-25.879,-71.289,-201.660
1738232989.342,-7.324,-31.738,-20.508,-93.262,-43.457
1738232989.346,-33.203,-14.160,-23.926,-64.453,-22.461
1738232989.394,-44.434,-15.137,-29.785,-60.059,-201.660
1738232989.398,-28.809,-15.137,-27.832,-44.434,-197.266
1738232989.402,-10.742,-16.113,-20.508,-39.062,-140.625
1738232989.406,1.953,-18.555,-24.902,-34.180,-177.734
