timestamps,TP9,AF7,AF8,TP10,Right AUX
1738233855.380,1.953,-76.660,-8.301,-34.180,-309.082
1738233855.384,12.695,-68.848,-4.395,-8.789,-156.250
1738233855.388,-10.254,-63.965,3.418,-4.395,-9.766
1738233855.392,-42.480,-71.289,-10.254,-19.531,-74.707
1738233855.396,-59.570,-73.242,-17.578,-39.551,-174.316
1738233855.400,-23.926,-68.359,-10.254,-44.922,145.020
1738233855.404,-7.324,-77.637,-16.602,-25.391,590.820
1738233855.407,-26.367,-78.613,-26.855,-16.113,56.152
1738233855.411,-49.805,-88.379,-31.738,-35.645,-280.762
1738233855.415,-58.105,-100.098,-38.086,-40.527,-34.668
1738233855.419,-26.855,-85.449,-42.480,-38.574,-101.562
1738233855.423,11.230,-68.359,-39.062,-20.020,-270.996
1738233855.425,19.043,-71.777,-36.133,8.789,-195.801
1738233855.429,-20.020,-78.613,-40.527,-5.371,-72.754
1738233855.433,-55.664,-68.848,-40.039,-35.645,-159.668
1738233855.437,-26.367,-48.340,-36.621,-36.133,-308.594
1738233855.441,0.000,-43.945,-37.109,-26.855,-169.434
1738233855.445,6.836,-50.781,-43.457,0.488,161.133
1738233855.449,-14.160,-44.922,-57.617,-9.766,79.102
1738233855.452,-58.594,-46.387,-66.406,-21.484,-25.391
1738233855.456,-51.270,-41.992,-62.500,-23.926,-57.617
1738233855.460,-18.555,-41.016,-67.871,-50.781,359.863
1738233855.464,-10.742,-40.527,-81.055,-33.691,637.207
1738233855.468,-18.066,-48.340,-78.125,-10.254,25.879
1738233855.470,-46.387,-65.918,-79.102,-20.996,-227.051
1738233855.474,-37.598,-54.688,-81.543,-37.109,-180.176
1738233855.478,12.695,-43.945,-72.266,-29.297,-264.648
1738233855.482,22.949,-44.922,-69.824,-21.484,-228.027
1738233855.486,4.883,-53.223,-72.754,-21.973,-86.426
1738233855.490,-40.039,-67.871,-77.637,-31.250,48.340
1738233855.494,-60.547,-59.082,-75.684,-36.621,11.230
1738233855.497,-19.043,-41.504,-64.453,-24.414,-193.359
1738233855.501,-1.465,-54.199,-62.500,1.953,-51.270
1738233855.505,-15.625,-57.129,-68.848,4.395,185.547
1738233855.509,-41.992,-54.688,-69.336,-24.902,-100.586
1738233855.513,-49.805,-60.547,-66.406,-40.039,-302.734
1738233855.515,-3.418,-53.711,-62.012,-30.273,92.773
1738233855.519,16.602,-35.156,-59.570,-31.250,351.074
1738233855.523,-0.977,-22.461,-59.570,-38.574,-137.207
1738233855.527,-25.391,-37.109,-55.664,-37.598,-257.324
1738233855.531,-52.734,-42.969,-53.223,-32.227,-156.738
1738233855.535,-27.344,-29.785,-57.617,-27.344,-158.691
1738233855.539,-4.395,-23.438,-59.082,-25.391,-188.477
1738233855.542,-11.719,-31.250,-57.617,-22.949,-132.324
1738233855.546,-32.715,-56.152,-56.152,-1.953,464.844
1738233855.550,-68.848,-54.688,-62.988,-4.883,468.750
1738233855.554,-37.598,-24.902,-64.453,-29.297,-198.242
1738233855.558,2.441,-17.578,-62.988,-22.949,-230.469
1738233855.560,0.488,-12.695,-64.453,-16.113,-71.777
1738233855.564,-21.484,-21.484,-61.035,-20.996,-180.176
1738233855.568,-57.617,-38.086,-55.176,-28.809,-264.160
1738233855.572,-39.062,-32.715,-51.270,-31.250,-229.004
1738233855.576,-0.488,-24.902,-55.176,-34.668,-145.020
1738233855.580,0.000,-37.109,-60.059,-42.480,64.941
1738233855.584,-11.230,-51.758,-58.594,-28.320,15.137
1738233855.587,-37.598,-70.801,-56.152,-20.996,56.641
1738233855.591,-28.809,-71.777,-57.129,-30.762,353.516
1738233855.595,10.742,-57.129,-51.758,-33.691,-67.871
1738233855.599,9.277,-68.848,-45.410,-19.531,-228.516
1738233855.603,-6.836,-76.660,-45.898,-15.137,-85.449
1738233855.636,-34.668,-70.801,-47.852,-23.438,-142.090
1738233855.640,-34.668,-48.828,-45.410,-24.902,-228.516
1738233855.644,-1.465,-38.086,-41.992,-21.973,-149.414
1738233855.648,4.883,-38.086,-40.527,-16.113,144.531
1738233855.652,-13.672,-32.715,-41.016,-11.230,32.715
1738233855.656,-46.387,-47.363,-44.434,-17.090,-47.363
1738233855.660,-46.387,-50.293,-47.852,-28.809,69.336
1738233855.663,0.488,-42.969,-48.340,-19.043,447.266
1738233855.667,-0.488,-36.133,-50.781,-16.113,420.410
1738233855.671,-17.578,-39.551,-49.316,-23.438,-143.066
1738233855.675,-11.230,-60.547,-49.316,-26.367,-170.410
1738233855.679,-18.555,-74.219,-48.828,-24.902,227.051
1738233855.652,-8.301,-65.430,-51.758,-26.367,-74.707
1738233855.656,-5.859,-74.707,-52.246,-21.973,-335.449
1738233855.660,-6.348,-87.402,-45.410,-21.484,-157.715
1738233855.664,-23.438,-91.797,-39.062,-20.508,-157.715
1738233855.668,-52.246,-100.098,-34.180,-20.508,-192.383
1738233855.672,-25.391,-90.332,-33.691,-13.184,-59.082
1738233855.676,-6.836,-89.355,-40.039,-6.348,85.938
1738233855.679,-19.043,-89.844,-42.480,-24.902,88.379
1738233855.683,-29.785,-83.496,-38.574,-33.203,-162.598
1738233855.687,-55.176,-89.355,-39.062,-32.227,-247.559
1738233855.691,-50.293,-85.938,-35.156,-24.902,-47.852
1738233855.695,-8.789,-70.312,-32.227,-16.602,-70.801
1738233855.695,2.441,-72.266,-38.086,-29.297,-196.289
1738233855.699,-16.602,-89.355,-41.016,-27.832,-215.820
1738233855.703,-49.805,-109.375,-42.969,-23.438,204.590
1738233855.707,-56.641,-102.051,-39.062,-35.645,478.516
1738233855.711,-24.902,-80.078,-32.715,-29.297,-83.496
1738233855.715,-12.207,-77.148,-33.691,-18.555,-96.191
1738233855.719,-5.859,-93.262,-38.574,-7.812,409.180
1738233855.722,-25.391,-99.609,-41.016,3.418,145.996
1738233855.726,-49.805,-91.309,-35.645,-16.113,-169.434
1738233855.730,-29.297,-83.496,-28.320,-30.273,-60.059
1738233855.734,-26.855,-89.355,-26.855,-27.832,-2.930
1738233855.738,-33.203,-99.609,-31.738,-29.785,-105.957
1738233855.741,-60.547,-100.098,-33.203,-42.480,-235.840
1738233855.745,-81.055,-91.797,-32.715,-35.645,-152.344
1738233855.749,-26.367,-81.543,-37.109,-26.367,341.797
1738233855.753,-5.371,-66.895,-38.086,-26.855,123.535
1738233855.757,-24.902,-76.172,-36.621,-23.926,-235.352
1738233855.761,-45.898,-101.074,-40.039,-23.926,140.137
1738233855.765,-60.547,-98.633,-35.645,-23.926,234.375
1738233855.768,-33.691,-71.289,-28.809,-30.762,-153.809
1738233855.772,-11.230,-73.730,-34.180,-27.832,-287.109
1738233855.776,-20.996,-92.773,-41.504,-24.902,25.391
1738233855.780,-43.945,-95.703,-41.016,-35.156,128.906
1738233855.784,-55.664,-88.867,-42.969,-27.832,-203.125
