timestamps,TP9,AF7,AF8,TP10,Right AUX
1737973550.155,999.512,999.512,-286.621,999.512,-1000.000
1737973550.159,999.512,999.512,-530.273,999.512,-1000.000
1737973550.163,230.957,248.047,-456.055,224.121,-365.723
1737973550.167,-1000.000,-1000.000,-800.293,-1000.000,999.512
1737973550.171,-200.684,-198.730,-354.492,-197.266,178.711
1737973550.175,999.512,998.535,-189.941,998.535,-1000.000
1737973550.179,999.512,999.512,-580.566,999.512,-1000.000
1737973550.182,265.625,393.555,-476.074,323.730,-501.953
1737973550.186,-1000.000,-1000.000,-743.652,-1000.000,999.512
1737973550.190,-200.195,-310.059,-309.570,-206.055,403.320
1737973550.194,997.559,973.145,-127.930,999.512,-961.426
1737973550.198,999.512,999.512,-628.418,999.512,-1000.000
1737973550.200,426.758,558.105,-448.730,523.926,-554.199
1737973550.204,-1000.000,-1000.000,-665.039,-1000.000,997.559
1737973550.208,-361.816,-550.781,-552.734,-451.172,489.746
1737973550.212,999.512,925.781,-295.898,981.445,-964.844
1737973550.216,918.457,996.094,-588.867,963.379,-1000.000
1737973550.220,326.172,516.602,-398.926,459.473,-689.453
1737973550.224,-989.746,-875.000,-615.234,-932.617,719.727
1737973550.227,-543.945,-776.855,-632.324,-652.344,713.867
1737973550.231,909.180,740.723,-183.594,875.977,-834.473
1737973550.235,999.512,999.512,-477.051,999.512,-1000.000
1737973550.239,844.727,928.223,-437.988,826.660,-1000.000
1737973550.243,-648.438,-397.949,-541.504,-536.133,218.750
1737973550.245,-837.402,-1000.000,-623.535,-953.125,999.512
1737973550.249,747.559,458.008,-243.164,606.934,-504.395
1737973550.253,999.512,999.512,-606.445,999.512,-1000.000
1737973550.257,999.512,999.512,-464.355,999.512,-1000.000
1737973550.261,-223.145,-76.172,-473.633,-164.551,99.609
1737973550.265,-1000.000,-1000.000,-719.238,-1000.000,999.512
1737973550.269,421.387,178.711,-295.898,281.738,-291.992
1737973550.272,999.512,999.512,-496.094,999.512,-1000.000
1737973550.276,999.512,999.512,-411.133,999.512,-1000.000
1737973550.280,22.461,143.555,-414.551,33.203,-210.449
1737973550.284,-1000.000,-1000.000,-773.438,-1000.000,999.512
1737973550.288,131.348,-15.625,-266.113,75.684,-29.297
1737973550.291,999.512,999.512,-381.836,999.512,-1000.000
1737973550.295,999.512,999.512,-510.254,999.512,-1000.000
1737973550.299,237.305,235.840,-426.758,238.770,-266.113
1737973550.303,-1000.000,-1000.000,-719.727,-1000.000,999.512
1737973550.307,-101.562,-187.988,-273.926,-159.668,134.277
1737973550.311,999.512,999.512,-353.516,999.512,-1000.000
1737973550.315,999.512,999.512,-571.289,999.512,-1000.000
1737973550.318,231.445,225.586,-378.906,227.051,-257.812
1737973550.322,-1000.000,-1000.000,-689.941,-1000.000,999.512
1737973550.326,-203.125,-198.242,-404.785,-202.637,160.156
1737973550.330,999.512,999.512,-331.543,999.512,-1000.000
1737973550.334,999.512,999.512,-592.773,999.512,-1000.000
1737973550.335,223.633,312.988,-457.520,224.121,-400.391
1737973550.339,-1000.000,-1000.000,-768.555,-1000.000,999.512
1737973550.343,-194.336,-241.699,-449.707,-192.871,207.520
1737973550.347,994.141,987.793,-249.023,995.117,-1000.000
1737973550.351,999.512,999.512,-597.656,999.512,-1000.000
1737973550.355,403.320,509.766,-459.473,426.758,-598.145
1737973550.359,-1000.000,-1000.000,-706.055,-1000.000,986.328
1737973550.362,-223.145,-424.805,-355.469,-320.801,536.621
1737973550.366,999.512,948.730,-115.234,974.609,-907.227
1737973550.370,999.512,999.512,-651.367,999.512,-1000.000
