timestamps,TP9,AF7,AF8,TP10,Right AUX
1738231431.180,-27.832,-21.484,-24.414,-23.926,-118.652
1738231431.184,-7.324,-20.508,-16.602,-9.277,-314.941
1738231431.188,-33.691,-25.879,-24.414,-10.742,-106.934
1738231431.192,-40.527,-35.156,-28.320,-58.594,284.668
1738231431.196,-26.855,-28.809,-24.414,-79.590,-3.906
1738231431.200,-11.230,-24.414,-29.785,-60.059,-247.070
1738231431.204,-3.418,-20.996,-30.273,-23.438,-21.973
1738231431.207,-16.113,-19.531,-35.156,-9.277,435.547
1738231431.211,-32.227,-24.414,-22.461,19.043,438.965
1738231431.215,-20.996,-23.926,3.418,37.598,-205.566
1738231431.219,-24.414,-14.160,-2.441,19.043,-282.715
1738231431.223,-52.734,-17.578,-11.719,-5.859,-56.152
1738231431.213,-41.016,-21.973,-6.348,21.484,-113.770
1738231431.217,-17.090,-20.508,-1.465,31.738,-155.762
1738231431.221,-15.625,-26.367,-3.418,-2.930,-106.934
1738231431.225,-18.555,-25.879,-5.859,2.930,-65.430
1738231431.229,-15.625,-20.508,-4.883,20.996,-239.746
1738231431.233,-30.273,-22.461,-9.766,39.062,-152.344
1738231431.237,-24.902,-21.484,-10.742,31.250,143.066
1738231431.240,-4.395,-17.090,-7.812,11.230,52.734
1738231431.244,-0.488,-19.531,-9.766,4.883,-266.602
1738231431.248,-4.883,-23.926,-16.113,19.531,-316.895
1738231431.252,-19.531,-24.902,-24.414,45.898,124.023
1738231431.256,-4.395,-19.531,-17.090,47.852,384.766
1738231431.256,14.648,-15.137,-8.301,29.785,-123.535
1738231431.260,8.789,-17.578,-16.113,22.949,-190.430
1738231431.264,-9.766,-19.531,-20.508,17.578,227.051
1738231431.268,-28.320,-19.531,-12.695,33.203,210.449
1738231431.272,-16.602,-18.555,-11.719,29.785,-59.082
1738231431.276,9.277,-17.578,-16.602,16.602,-7.812
1738231431.280,1.465,-15.625,-21.484,23.926,363.281
1738231431.283,-28.809,-19.043,-21.484,15.625,617.676
1738231431.287,-35.156,-34.668,-14.648,27.344,209.473
1738231431.291,12.695,-29.785,-21.484,67.383,-64.453
1738231431.295,18.066,-2.441,-26.855,39.551,-20.996
1738231431.299,-8.301,0.977,-25.879,-6.348,-245.605
1738231431.330,-3.906,-14.648,-24.902,6.348,-330.566
1738231431.334,-11.230,-9.277,-31.738,38.574,-157.227
1738231431.338,-17.578,0.977,-39.062,24.414,-25.879
1738231431.342,1.953,-6.348,-39.551,17.090,-65.918
1738231431.346,6.348,-14.648,-47.852,27.832,-99.609
1738231431.350,-0.488,-7.324,-59.082,2.441,79.590
1738231431.354,-6.836,1.465,-63.965,11.230,625.488
1738231431.357,-2.441,4.883,-53.711,18.066,270.020
1738231431.361,14.160,12.207,-52.246,-1.465,-233.398
1738231431.365,35.645,15.625,-59.570,4.883,-143.066
1738231431.369,27.344,8.301,-62.500,-8.789,-198.242
1738231431.373,20.020,12.207,-68.359,0.000,-236.816
1738231431.360,17.090,18.555,-72.754,10.254,-88.867
1738231431.364,19.531,12.695,-72.754,-12.695,-12.695
1738231431.368,24.902,10.742,-69.336,-16.602,-140.625
1738231431.372,27.832,13.184,-68.359,-12.695,-97.168
1738231431.376,17.090,7.812,-67.871,8.789,-60.547
1738231431.380,28.320,10.254,-72.754,50.293,140.137
1738231431.384,45.410,20.996,-69.336,29.785,163.086
1738231431.387,24.414,15.625,-61.523,-9.766,-98.633
1738231431.391,24.902,6.348,-59.570,-10.742,-162.109
1738231431.395,14.648,4.395,-65.430,-3.906,252.930
1738231431.399,-7.324,2.930,-54.199,3.906,236.328
1738231431.403,4.395,2.930,-46.387,5.859,-178.711
1738231431.404,5.371,0.977,-56.152,-22.949,-211.914
1738231431.408,-8.301,-2.930,-61.523,-27.344,277.344
1738231431.412,-13.184,-3.906,-55.664,-3.906,155.273
1738231431.416,-23.926,-4.883,-50.293,-13.672,-238.770
1738231431.420,-21.973,-8.789,-54.199,-32.227,-123.047
1738231431.424,-7.812,-10.742,-52.734,-31.250,18.555
1738231431.428,-11.230,-10.254,-45.898,-41.504,-88.867
1738231431.431,-24.902,-8.789,-44.922,-31.250,-327.637
1738231431.435,-33.203,-6.836,-52.246,-8.301,12.695
1738231431.439,-30.762,-11.719,-49.805,-23.926,572.754
1738231431.443,-28.809,-19.531,-41.504,-54.688,25.879
1738231431.447,-28.320,-23.926,-37.598,-58.105,-372.070
1738231431.450,-41.016,-24.414,-36.621,-33.691,-164.062
1738231431.454,-48.340,-20.508,-33.691,-27.832,-43.457
1738231431.458,-28.809,-20.020,-37.598,-41.504,-89.355
1738231431.462,-20.996,-30.273,-43.945,-56.641,-26.855
1738231431.466,-32.227,-37.598,-51.758,-65.918,194.824
1738231431.470,-49.805,-32.715,-52.246,-66.895,118.652
1738231431.474,-46.875,-26.855,-44.434,-41.992,-40.527
1738231431.477,-42.480,-28.809,-47.363,-24.414,-38.086
