timestamps,TP9,AF7,AF8,TP10,Right AUX
1738232365.131,-10.742,-9.766,-36.133,-8.301,252.930
1738232365.135,-51.758,-4.395,-28.809,-34.668,111.328
1738232365.139,-63.965,-12.207,-25.879,-39.062,-232.910
1738232365.143,-41.504,-15.625,-33.203,-0.488,-139.160
1738232365.147,-49.805,-19.043,-30.762,7.812,-89.844
1738232365.151,-65.430,-22.461,-27.344,-49.805,-102.539
1738232365.155,-58.105,-11.719,-30.762,-81.543,-157.715
1738232365.158,-50.293,-7.324,-27.344,-62.012,-16.602
1738232365.162,-38.086,-15.137,-27.832,-58.594,55.176
1738232365.166,-36.621,-13.184,-30.762,-72.266,-128.906
1738232365.170,-34.668,-9.766,-25.879,-62.500,-142.090
1738232365.174,-33.203,-14.160,-27.832,-53.223,36.133
1738232365.174,-31.738,-13.184,-26.855,-41.016,535.645
1738232365.178,-30.273,-14.160,-27.344,-21.973,665.039
1738232365.182,-32.227,-18.066,-26.367,-31.738,111.816
1738232365.186,-35.645,-20.996,-29.297,-79.102,-198.242
1738232365.190,-41.504,-15.625,-28.320,-60.547,-249.512
1738232365.194,-41.016,-7.812,-29.297,-20.020,-168.945
1738232365.198,-29.785,-11.230,-31.250,-38.086,28.809
1738232365.201,-24.902,-12.695,-27.344,-41.992,483.398
1738232365.205,-38.574,-14.648,-30.762,-41.504,477.051
1738232365.209,-36.133,-8.301,-30.273,-48.340,-243.652
1738232365.213,-32.715,-11.719,-28.320,-45.410,-384.277
1738232365.217,-41.992,-18.555,-36.133,-33.691,-247.559
1738232365.223,-38.574,-12.695,-36.133,-26.367,-205.566
1738232365.227,-32.227,-11.230,-28.320,-56.641,-235.840
1738232365.231,-34.668,-10.742,-27.832,-52.734,-216.309
1738232365.235,-30.762,-6.836,-26.855,-28.320,-13.184
1738232365.239,-30.273,-6.836,-23.926,-37.598,-107.910
1738232365.243,-31.738,-6.836,-28.320,-30.762,-166.504
1738232365.247,-28.320,-10.254,-35.645,-11.719,34.668
1738232365.250,-26.855,-11.230,-29.785,10.254,337.891
1738232365.254,-25.391,-10.742,-21.973,-0.977,-86.914
1738232365.258,-22.461,-7.812,-26.855,-44.922,-291.504
1738232365.262,-17.090,-3.906,-25.879,-57.129,-84.961
1738232365.266,-20.996,-5.859,-26.855,-41.016,-161.133
